[2026-06-17T17:36:16.751Z] Path: /api/chat | Error: {"error":"Unknown column 'reactions' in 'field list'"}
[2026-06-18T07:12:40.374Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:40.709Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:42.085Z] Path: /api/candidates/44 | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:42.302Z] Path: /api/gamification/me | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:42.304Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:42.306Z] Path: /api/candidates/44/notes | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:42.397Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:43.653Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:43.654Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:43.699Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:44.365Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:44.661Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:48.366Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:48.660Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:52.372Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:52.374Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:52.378Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:52.661Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:53.661Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:53.663Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:53.687Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:56.367Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:12:56.663Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:00.355Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:00.676Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:02.359Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:03.661Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:03.662Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:03.680Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:04.356Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:04.667Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:07.362Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:08.359Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:08.653Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:12.361Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:12.363Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:12.658Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:13.666Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:13.668Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:13.694Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:16.365Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:16.659Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:20.368Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:20.660Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:22.361Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:22.362Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:23.663Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:23.665Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:23.691Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:24.365Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:24.657Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:28.359Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:28.668Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:32.380Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:32.382Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:32.656Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:33.654Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:33.655Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:33.678Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:36.361Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:36.655Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:37.357Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:40.362Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:40.659Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:42.367Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:43.665Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:43.667Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:43.701Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:44.365Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:44.660Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:48.367Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:48.663Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:52.370Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:52.372Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:52.373Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:52.662Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:53.663Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:53.665Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:53.790Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:56.359Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:13:56.659Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:00.366Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:00.660Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:02.359Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:03.656Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:03.658Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:03.683Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:04.354Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:04.664Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:07.354Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:08.353Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:08.666Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:12.368Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:12.369Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:12.663Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:13.664Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:13.665Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:13.698Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:16.366Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:16.661Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:20.356Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:20.663Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:22.360Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:22.362Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:23.671Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:23.673Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:23.713Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:24.364Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:24.658Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:26.755Z] Path: /api/candidates/31 | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:26.857Z] Path: /api/gamification/me | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:26.860Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:26.866Z] Path: /api/candidates/31/notes | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:28.356Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:28.658Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:32.366Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:32.368Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:32.659Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:33.661Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:33.663Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:33.702Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:36.367Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:36.662Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:37.364Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:40.361Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:40.658Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:42.356Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:43.651Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:43.653Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:43.686Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:44.356Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:44.670Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:48.362Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:48.655Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:52.249Z] Path: /api/attendance/punch-out | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.704Z] Path: /api/jobs | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.721Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.736Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.747Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.820Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.828Z] Path: /api/policies/pending | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.843Z] Path: /api/jobs | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.846Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.861Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.898Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.903Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.914Z] Path: /api/jobs | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.920Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.923Z] Path: /api/policies/pending | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.953Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.967Z] Path: /api/jobs | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:53.971Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:54.007Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:14:57.617Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:01.604Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:03.604Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:03.605Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:03.630Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:05.605Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:06.392Z] Path: /api/clients | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:06.398Z] Path: /api/jobs | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:06.448Z] Path: /api/revert-queries | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:06.487Z] Path: /api/clients | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:06.500Z] Path: /api/jobs | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:06.554Z] Path: /api/revert-queries | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:08.613Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:09.607Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:17.649Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:21.622Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.217Z] Path: /api/jobs | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.245Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.280Z] Path: /api/revert-queries | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.300Z] Path: /api/clients | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.375Z] Path: /api/jobs | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.383Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.402Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.428Z] Path: /api/policies/pending | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.465Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.507Z] Path: /api/jobs | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.546Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.567Z] Path: /api/revert-queries | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.630Z] Path: /api/clients | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.646Z] Path: /api/jobs | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.684Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.726Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.734Z] Path: /api/policies/pending | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:31.760Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:35.618Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:39.621Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:41.608Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:43.617Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:46.609Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:47.607Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:51.614Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:51.616Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:55.611Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:15:59.613Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:16:01.620Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:16:01.623Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:16:03.223Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:16:07.781Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:16:17.627Z] Path: /api/policies/pending | Error: {"error":"Unknown column 'lastReadMessageId' in 'field list'"}
[2026-06-18T07:16:17.798Z] Path: /api/policies/pending | Error: {"error":"Unknown column 'lastReadMessageId' in 'field list'"}
[2026-06-18T07:17:07.038Z] Path: /api/chat/read | Error: {"error":"lastReadMessageId is not defined"}
[2026-06-18T07:17:08.293Z] Path: /api/chat/read | Error: {"error":"lastReadMessageId is not defined"}
[2026-06-18T07:17:11.823Z] Path: /api/chat/read | Error: {"error":"lastReadMessageId is not defined"}
[2026-06-18T07:17:12.563Z] Path: /api/chat/read | Error: {"error":"lastReadMessageId is not defined"}
[2026-06-18T07:17:13.505Z] Path: /api/chat/read | Error: {"error":"lastReadMessageId is not defined"}
[2026-06-18T07:17:14.644Z] Path: /api/chat/read | Error: {"error":"lastReadMessageId is not defined"}
[2026-06-18T07:18:41.973Z] Path: /api/chat/read | Error: {"error":"lastReadMessageId is not defined"}
[2026-06-18T07:19:01.700Z] Path: /api/chat/read | Error: {"error":"lastReadMessageId is not defined"}
[2026-06-18T07:20:26.451Z] Path: /api/chat/read | Error: {"error":"lastReadMessageId is not defined"}
[2026-06-18T07:20:28.468Z] Path: /api/chat/read | Error: {"error":"lastReadMessageId is not defined"}
[2026-06-18T07:27:58.212Z] Path: /api/chat/read | Error: {"error":"lastReadMessageId is not defined"}
[2026-06-18T07:28:06.665Z] Path: /api/chat/read | Error: {"error":"lastReadMessageId is not defined"}
[2026-06-18T07:28:17.070Z] Path: /api/chat/read | Error: {"error":"lastReadMessageId is not defined"}
